cancer_type,drug_type,phase,enrollment_size,trial_duration_months,sponsor_type,outcome
prostate,hormone_therapy,III,736.0,73.0,academic,1
pancreatic,combination,II,1607.0,89.0,industry,0
ovarian,targeted_therapy,II,1693.0,88.0,academic,1
lung,chemotherapy,I,491.0,47.0,industry,0
melanoma,combination,III,93.0,96.0,academic,0
ovarian,targeted_therapy,III,1596.0,62.0,industry,1
leukemia,targeted_therapy,III,1522.0,103.0,industry,1
prostate,chemotherapy,II,608.0,73.0,industry,1
breast,targeted_therapy,III,1430.0,43.0,industry,1
melanoma,immunotherapy,III,1742.0,67.0,industry,1
melanoma,chemotherapy,II,1925.0,12.0,academic,0
lung,targeted_therapy,II,583.0,117.0,industry,1
bladder,radiation,II,1973.0,76.0,industry,1
melanoma,combination,IV,1476.0,55.0,academic,0
colorectal,targeted_therapy,III,1455.0,57.0,industry,1
prostate,immunotherapy,IV,486.0,31.0,government,1
prostate,hormone_therapy,II,618.0,31.0,government,0
colorectal,targeted_therapy,III,1664.0,24.0,industry,1
renal,hormone_therapy,III,1011.0,14.0,industry,1
colorectal,radiation,III,1952.0,66.0,industry,0
colorectal,targeted_therapy,IV,756.0,25.0,academic,1
prostate,chemotherapy,II,1013.0,111.0,academic,1
pancreatic,hormone_therapy,I,267.0,114.0,academic,0
prostate,radiation,III,1624.0,55.0,academic,1
bladder,chemotherapy,III,1163.0,85.0,industry,1
lung,chemotherapy,III,86.0,86.0,academic,1
ovarian,chemotherapy,II,592.0,27.0,academic,0
pancreatic,chemotherapy,III,1999.0,18.0,academic,1
breast,targeted_therapy,II,1370.0,17.0,government,1
ovarian,combination,II,1963.0,15.0,academic,1
lung,targeted_therapy,III,722.0,70.0,industry,1
bladder,targeted_therapy,III,489.0,101.0,industry,1
bladder,radiation,II,512.0,35.0,industry,0
breast,radiation,II,1744.0,13.0,industry,1
pancreatic,combination,II,682.0,26.0,government,0
renal,radiation,II,305.0,27.0,industry,0
colorectal,immunotherapy,III,1999.0,23.0,academic,1
pancreatic,combination,IV,1957.0,71.0,industry,1
renal,radiation,II,1651.0,53.0,industry,0
bladder,combination,III,331.0,49.0,government,0
prostate,targeted_therapy,III,328.0,14.0,government,1
lung,targeted_therapy,III,794.0,72.0,industry,1
breast,combination,II,1140.0,59.0,industry,1
lung,immunotherapy,IV,984.0,31.0,industry,1
leukemia,immunotherapy,II,1156.0,90.0,industry,1
leukemia,combination,II,1680.0,99.0,industry,1
pancreatic,radiation,I,475.0,97.0,industry,0
bladder,hormone_therapy,II,1506.0,105.0,government,1
bladder,immunotherapy,I,1991.0,31.0,academic,0
colorectal,chemotherapy,II,151.0,39.0,government,0
colorectal,targeted_therapy,II,949.0,13.0,academic,1
colorectal,combination,III,984.0,15.0,industry,1
prostate,chemotherapy,III,948.0,53.0,government,1
ovarian,combination,II,140.0,60.0,industry,1
melanoma,targeted_therapy,III,1240.0,112.0,government,1
ovarian,targeted_therapy,III,1849.0,119.0,industry,1
lung,immunotherapy,III,1525.0,59.0,industry,1
ovarian,immunotherapy,I,653.0,83.0,government,0
prostate,chemotherapy,III,1837.0,45.0,academic,0
lung,combination,IV,916.0,20.0,government,1
ovarian,targeted_therapy,III,791.0,86.0,government,1
prostate,chemotherapy,II,1082.0,23.0,industry,1
melanoma,hormone_therapy,III,585.0,101.0,industry,1
ovarian,chemotherapy,III,531.0,107.0,industry,1
prostate,radiation,III,1517.0,28.0,academic,1
colorectal,chemotherapy,I,1204.0,67.0,academic,0
bladder,radiation,II,308.0,51.0,industry,1
colorectal,radiation,III,219.0,92.0,academic,1
bladder,radiation,III,1831.0,104.0,academic,1
breast,hormone_therapy,I,547.0,44.0,industry,1
breast,chemotherapy,IV,936.0,20.0,academic,1
breast,chemotherapy,II,1728.0,58.0,academic,1
melanoma,hormone_therapy,III,1546.0,93.0,government,0
colorectal,targeted_therapy,III,1291.0,69.0,industry,1
bladder,immunotherapy,III,1426.0,68.0,industry,1
prostate,chemotherapy,IV,1261.0,97.0,industry,1
lung,immunotherapy,II,1130.0,85.0,industry,1
prostate,combination,III,1125.0,21.0,government,1
lung,combination,I,1105.0,109.0,industry,0
leukemia,hormone_therapy,III,818.0,108.0,academic,1
prostate,combination,III,1543.0,75.0,industry,1
ovarian,combination,III,1085.0,71.0,industry,1
ovarian,targeted_therapy,II,31.0,18.0,industry,1
pancreatic,targeted_therapy,III,852.0,113.0,academic,1
colorectal,targeted_therapy,II,1789.0,52.0,academic,1
lung,combination,I,860.0,14.0,industry,0
lung,hormone_therapy,III,662.0,68.0,government,1
colorectal,radiation,II,1158.0,39.0,industry,0
melanoma,radiation,III,1261.0,86.0,industry,1
pancreatic,immunotherapy,II,1692.0,96.0,industry,0
melanoma,radiation,II,125.0,34.0,industry,0
melanoma,radiation,III,710.0,42.0,government,0
melanoma,targeted_therapy,III,547.0,48.0,industry,1
colorectal,targeted_therapy,II,1515.0,91.0,industry,1
melanoma,combination,III,1797.0,69.0,industry,1
ovarian,immunotherapy,III,865.0,29.0,academic,1
breast,chemotherapy,III,912.0,76.0,industry,1
leukemia,immunotherapy,II,406.0,39.0,academic,1
lung,immunotherapy,III,1269.0,53.0,industry,1
lung,hormone_therapy,III,500.0,17.0,industry,0
leukemia,combination,III,1797.0,28.0,academic,1
colorectal,hormone_therapy,I,427.0,84.0,industry,1
prostate,immunotherapy,III,1500.0,102.0,government,1
colorectal,immunotherapy,III,1696.0,18.0,industry,1
lung,immunotherapy,III,917.0,92.0,academic,1
lung,radiation,II,730.0,107.0,industry,0
leukemia,hormone_therapy,III,1667.0,101.0,academic,1
melanoma,immunotherapy,III,658.0,50.0,industry,1
colorectal,targeted_therapy,I,1064.0,119.0,industry,0
bladder,combination,II,1702.0,104.0,industry,1
leukemia,combination,III,1644.0,70.0,industry,1
ovarian,targeted_therapy,I,834.0,52.0,industry,1
lung,combination,IV,937.0,63.0,industry,1
leukemia,radiation,III,222.0,114.0,academic,0
colorectal,radiation,III,436.0,10.0,academic,0
lung,chemotherapy,II,435.0,82.0,academic,0
prostate,chemotherapy,II,1491.0,10.0,academic,0
leukemia,chemotherapy,IV,1555.0,65.0,industry,1
pancreatic,combination,II,104.0,101.0,industry,0
lung,radiation,III,186.0,26.0,industry,0
colorectal,radiation,II,403.0,29.0,academic,0
breast,radiation,I,487.0,23.0,industry,1
bladder,targeted_therapy,I,1115.0,26.0,industry,1
renal,radiation,III,829.0,59.0,academic,1
melanoma,targeted_therapy,IV,1016.0,15.0,industry,1
renal,chemotherapy,II,1564.0,29.0,government,0
colorectal,chemotherapy,II,1836.0,109.0,government,0
ovarian,combination,II,492.0,116.0,industry,1
ovarian,chemotherapy,III,1012.0,90.0,industry,1
breast,combination,II,1301.0,94.0,industry,1
melanoma,immunotherapy,III,294.0,65.0,academic,1
pancreatic,immunotherapy,III,1793.0,62.0,industry,1
breast,hormone_therapy,III,1063.0,28.0,academic,1
renal,combination,I,1533.0,27.0,academic,0
breast,hormone_therapy,IV,1788.0,73.0,industry,1
renal,hormone_therapy,II,509.0,39.0,industry,1
lung,immunotherapy,I,1776.0,75.0,academic,0
ovarian,combination,III,345.0,33.0,industry,1
lung,immunotherapy,III,548.0,100.0,academic,0
bladder,hormone_therapy,II,911.0,104.0,industry,1
melanoma,combination,II,108.0,44.0,academic,0
pancreatic,hormone_therapy,III,505.0,47.0,government,1
renal,radiation,II,727.0,28.0,government,1
pancreatic,combination,III,369.0,75.0,industry,1
renal,combination,III,1127.0,85.0,industry,1
colorectal,hormone_therapy,II,406.0,7.0,academic,0
breast,radiation,II,106.0,29.0,industry,1
bladder,targeted_therapy,II,326.0,22.0,industry,1
ovarian,immunotherapy,III,1893.0,114.0,government,1
renal,hormone_therapy,III,1197.0,70.0,industry,1
pancreatic,combination,II,459.0,75.0,industry,0
bladder,immunotherapy,III,759.0,74.0,industry,1
prostate,immunotherapy,IV,283.0,114.0,academic,1
prostate,immunotherapy,II,996.0,65.0,academic,1
lung,targeted_therapy,IV,754.0,55.0,industry,1
ovarian,chemotherapy,II,440.0,98.0,industry,0
colorectal,hormone_therapy,I,512.0,17.0,industry,0
pancreatic,chemotherapy,II,652.0,108.0,academic,0
breast,chemotherapy,II,1012.0,52.0,industry,1
breast,chemotherapy,II,430.0,72.0,government,1
pancreatic,immunotherapy,I,192.0,117.0,industry,0
melanoma,radiation,IV,23.0,70.0,government,0
colorectal,immunotherapy,III,873.0,32.0,industry,1
bladder,immunotherapy,III,1683.0,53.0,academic,1
renal,combination,II,1005.0,93.0,industry,1
melanoma,combination,I,1515.0,67.0,industry,0
renal,chemotherapy,I,1153.0,49.0,government,0
renal,immunotherapy,III,1910.0,24.0,government,1
melanoma,chemotherapy,IV,1080.0,64.0,industry,1
lung,combination,II,602.0,13.0,academic,0
prostate,radiation,I,1844.0,60.0,academic,0
renal,hormone_therapy,III,1074.0,113.0,government,1
melanoma,chemotherapy,II,1994.0,52.0,industry,0
melanoma,radiation,II,400.0,7.0,industry,0
leukemia,hormone_therapy,III,1311.0,99.0,industry,1
lung,targeted_therapy,III,1054.0,99.0,industry,1
ovarian,chemotherapy,I,363.0,118.0,government,0
leukemia,chemotherapy,I,1883.0,44.0,industry,0
leukemia,targeted_therapy,IV,1587.0,50.0,industry,1
pancreatic,targeted_therapy,II,1612.0,37.0,academic,0
prostate,chemotherapy,I,185.0,70.0,academic,0
melanoma,targeted_therapy,II,719.0,43.0,industry,1
prostate,immunotherapy,I,361.0,82.0,industry,1
colorectal,hormone_therapy,II,1525.0,16.0,government,0
pancreatic,hormone_therapy,III,1062.0,15.0,industry,1
ovarian,hormone_therapy,II,1671.0,117.0,academic,0
prostate,immunotherapy,II,999.0,64.0,academic,1
breast,targeted_therapy,III,1227.0,95.0,industry,1
renal,radiation,III,1825.0,60.0,government,0
colorectal,targeted_therapy,III,564.0,25.0,academic,1
lung,chemotherapy,III,1053.0,86.0,industry,1
ovarian,combination,I,1635.0,22.0,academic,0
colorectal,hormone_therapy,III,211.0,73.0,academic,1
renal,targeted_therapy,II,339.0,10.0,academic,1
pancreatic,radiation,IV,1745.0,65.0,government,0
renal,chemotherapy,II,599.0,28.0,industry,0
leukemia,immunotherapy,IV,494.0,51.0,industry,1
renal,immunotherapy,III,1903.0,57.0,industry,1
leukemia,radiation,II,656.0,15.0,industry,1
pancreatic,chemotherapy,III,446.0,51.0,industry,0
bladder,hormone_therapy,IV,1891.0,33.0,government,1
leukemia,targeted_therapy,III,1102.0,102.0,academic,1
lung,chemotherapy,I,1479.0,48.0,academic,0
renal,immunotherapy,III,116.0,31.0,academic,1
renal,radiation,II,515.0,60.0,academic,0
lung,radiation,I,1830.0,119.0,industry,0
breast,targeted_therapy,II,680.0,53.0,government,1
melanoma,radiation,II,1321.0,34.0,industry,1
bladder,radiation,III,1308.0,32.0,government,0
ovarian,chemotherapy,II,28.0,23.0,academic,0
leukemia,hormone_therapy,III,476.0,109.0,industry,1
lung,targeted_therapy,I,1838.0,65.0,academic,1
pancreatic,chemotherapy,II,292.0,79.0,industry,0
leukemia,hormone_therapy,II,959.0,111.0,industry,0
melanoma,chemotherapy,II,1856.0,74.0,academic,0
pancreatic,combination,I,1051.0,79.0,industry,0
colorectal,chemotherapy,II,227.0,119.0,industry,0
renal,radiation,III,1957.0,26.0,government,0
colorectal,hormone_therapy,II,1680.0,29.0,academic,0
leukemia,targeted_therapy,II,1166.0,107.0,government,1
melanoma,targeted_therapy,II,1076.0,8.0,academic,0
bladder,hormone_therapy,III,1556.0,109.0,industry,1
leukemia,radiation,IV,223.0,100.0,industry,1
lung,immunotherapy,II,537.0,67.0,academic,1
prostate,chemotherapy,II,1852.0,110.0,government,0
leukemia,radiation,I,1994.0,106.0,industry,0
renal,combination,IV,536.0,7.0,government,0
renal,hormone_therapy,I,462.0,71.0,government,0
leukemia,chemotherapy,II,1635.0,108.0,academic,1
pancreatic,targeted_therapy,II,1829.0,118.0,government,0
prostate,immunotherapy,II,708.0,47.0,industry,1
lung,combination,II,869.0,113.0,government,0
leukemia,targeted_therapy,III,852.0,39.0,academic,1
pancreatic,hormone_therapy,I,358.0,47.0,industry,0
renal,chemotherapy,III,1481.0,25.0,government,0
renal,hormone_therapy,I,1488.0,102.0,industry,0
melanoma,chemotherapy,I,1179.0,73.0,industry,0
leukemia,radiation,IV,406.0,50.0,academic,1
prostate,immunotherapy,II,1068.0,113.0,industry,1
breast,radiation,III,525.0,80.0,industry,1
prostate,radiation,III,1368.0,47.0,academic,0
renal,hormone_therapy,I,1738.0,52.0,industry,1
renal,immunotherapy,IV,699.0,10.0,industry,1
colorectal,chemotherapy,II,1381.0,94.0,industry,1
renal,chemotherapy,III,709.0,54.0,industry,0
lung,combination,II,904.0,42.0,academic,1
ovarian,targeted_therapy,III,1138.0,39.0,academic,1
leukemia,combination,I,1588.0,78.0,government,0
prostate,combination,III,642.0,75.0,academic,1
ovarian,chemotherapy,III,1189.0,23.0,industry,1
pancreatic,hormone_therapy,IV,912.0,83.0,government,0
breast,radiation,IV,972.0,24.0,academic,1
lung,radiation,III,1274.0,83.0,academic,1
prostate,radiation,III,803.0,45.0,academic,1
ovarian,immunotherapy,II,1891.0,22.0,government,1
breast,chemotherapy,II,514.0,65.0,academic,1
colorectal,hormone_therapy,II,1081.0,104.0,industry,1
lung,immunotherapy,II,1468.0,98.0,academic,1
lung,targeted_therapy,II,1690.0,47.0,industry,0
colorectal,hormone_therapy,III,1889.0,86.0,industry,1
leukemia,combination,II,766.0,112.0,industry,1
colorectal,hormone_therapy,III,456.0,77.0,industry,1
lung,hormone_therapy,II,1874.0,70.0,industry,0
lung,radiation,II,1411.0,114.0,industry,0
ovarian,hormone_therapy,III,364.0,58.0,academic,1
renal,combination,III,1203.0,105.0,academic,1
breast,combination,III,569.0,12.0,government,1
colorectal,chemotherapy,III,1705.0,115.0,industry,0
breast,hormone_therapy,II,1955.0,10.0,academic,1
colorectal,radiation,III,839.0,29.0,government,0
pancreatic,hormone_therapy,I,560.0,33.0,industry,0
lung,targeted_therapy,II,163.0,67.0,academic,0
renal,targeted_therapy,II,607.0,112.0,academic,1
ovarian,radiation,I,676.0,22.0,industry,0
renal,chemotherapy,II,1784.0,106.0,government,0
renal,chemotherapy,IV,1619.0,25.0,academic,1
renal,combination,IV,1902.0,8.0,industry,1
breast,combination,II,364.0,42.0,industry,1
colorectal,immunotherapy,I,1312.0,95.0,industry,1
bladder,radiation,II,1883.0,20.0,industry,0
pancreatic,hormone_therapy,II,715.0,56.0,industry,0
prostate,radiation,IV,1816.0,53.0,industry,1
renal,immunotherapy,I,287.0,13.0,industry,1
leukemia,combination,III,188.0,18.0,government,1
breast,radiation,I,1814.0,53.0,industry,1
ovarian,radiation,IV,1782.0,8.0,industry,0
prostate,combination,II,52.0,70.0,industry,1
bladder,immunotherapy,III,396.0,78.0,industry,1
leukemia,combination,II,1257.0,36.0,industry,1
bladder,chemotherapy,III,1605.0,110.0,industry,1
prostate,hormone_therapy,II,1483.0,31.0,industry,1
renal,combination,I,1535.0,86.0,academic,0
leukemia,immunotherapy,IV,412.0,61.0,government,1
bladder,targeted_therapy,IV,508.0,39.0,industry,1
ovarian,chemotherapy,III,741.0,14.0,industry,1
colorectal,targeted_therapy,III,965.0,67.0,academic,1
lung,combination,III,1072.0,18.0,academic,1
colorectal,chemotherapy,I,58.0,74.0,industry,0
prostate,hormone_therapy,II,1902.0,46.0,government,0
breast,combination,II,1655.0,82.0,academic,1
lung,hormone_therapy,III,1216.0,6.0,industry,1
pancreatic,radiation,II,1060.0,94.0,academic,0
ovarian,targeted_therapy,I,1099.0,52.0,government,1
pancreatic,chemotherapy,III,245.0,9.0,academic,0
leukemia,hormone_therapy,III,1601.0,105.0,industry,1
lung,immunotherapy,II,86.0,68.0,industry,1
pancreatic,hormone_therapy,I,1240.0,57.0,industry,0
pancreatic,immunotherapy,II,1697.0,15.0,industry,0
bladder,combination,II,854.0,33.0,academic,1
colorectal,chemotherapy,II,1066.0,11.0,academic,0
bladder,hormone_therapy,III,1018.0,32.0,academic,1
lung,hormone_therapy,III,1649.0,17.0,government,0
lung,chemotherapy,III,1797.0,67.0,industry,1
prostate,hormone_therapy,II,256.0,57.0,government,1
bladder,immunotherapy,III,976.0,53.0,academic,1
melanoma,hormone_therapy,II,938.0,72.0,industry,1
colorectal,targeted_therapy,II,1966.0,51.0,academic,1
lung,combination,III,1609.0,102.0,industry,1
prostate,radiation,II,1181.0,79.0,academic,0
bladder,immunotherapy,I,492.0,100.0,industry,1
colorectal,targeted_therapy,III,1888.0,20.0,industry,1
bladder,combination,II,1827.0,76.0,academic,1
pancreatic,chemotherapy,III,572.0,41.0,academic,1
prostate,immunotherapy,I,1653.0,19.0,industry,1
colorectal,radiation,III,714.0,117.0,industry,1
renal,combination,II,1683.0,83.0,industry,1
leukemia,radiation,I,1272.0,8.0,academic,0
leukemia,chemotherapy,III,336.0,118.0,government,1
colorectal,chemotherapy,II,617.0,115.0,government,1
bladder,immunotherapy,II,787.0,119.0,industry,1
prostate,hormone_therapy,I,1764.0,72.0,academic,0
leukemia,chemotherapy,I,1770.0,91.0,industry,1
prostate,combination,II,905.0,24.0,academic,1
leukemia,hormone_therapy,I,1655.0,104.0,industry,1
pancreatic,targeted_therapy,IV,580.0,81.0,industry,0
bladder,radiation,I,1244.0,59.0,academic,0
pancreatic,hormone_therapy,II,1991.0,74.0,industry,0
leukemia,radiation,I,277.0,15.0,academic,0
renal,hormone_therapy,II,1523.0,110.0,academic,0
renal,targeted_therapy,IV,1931.0,38.0,industry,1
pancreatic,chemotherapy,II,1221.0,18.0,industry,0
renal,targeted_therapy,IV,776.0,104.0,government,0
leukemia,chemotherapy,II,142.0,56.0,academic,0
colorectal,chemotherapy,III,361.0,37.0,industry,1
pancreatic,radiation,III,1214.0,80.0,industry,0
breast,combination,III,1888.0,117.0,academic,1
